"No.","Time","Source","Destination","Info","Protocol","Length"
"1463","37.237379","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1518","38.927808","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1528","39.192422","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1537","39.456319","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1571","40.249405","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1572","40.249525","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"1604","41.150447","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1623","41.679676","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1633","41.942791","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1634","41.942878","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"1646","42.208484","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1655","42.470605","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1670","42.737148","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1691","43.370750","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1692","43.370939","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"1744","44.694799","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1758","44.957430","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1772","45.224395","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1810","46.278119","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1824","46.650645","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1825","46.650807","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"1845","47.182356","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1855","47.446148","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1882","47.973320","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1905","48.502675","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1915","48.767173","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1931","49.137871","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1942","49.403190","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1973","50.196905","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1986","50.460732","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"1999","50.725395","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2016","51.255685","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2039","51.889800","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2040","51.890029","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2064","52.420565","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2065","52.420726","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2078","52.687075","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2087","52.949971","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2123","53.742904","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2133","54.004212","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2148","54.269177","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2161","54.534403","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2171","54.907211","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2172","54.907426","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2185","55.173034","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2239","56.759451","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2292","57.926868","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2302","58.189653","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2307","58.454731","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2333","58.983683","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2340","59.247957","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2359","59.776522","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2367","60.040727","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2389","60.676982","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2395","60.940272","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2396","60.940370","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2405","61.205857","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2414","61.468448","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2427","61.997002","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2428","61.997110","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2461","62.789931","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2462","62.790050","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2477","63.055760","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2484","63.318195","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2508","63.954778","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2544","64.750116","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2568","65.278197","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2582","65.541448","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2583","65.541593","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2592","65.809108","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2609","66.178455","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2610","66.178624","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2629","66.445145","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2630","66.445305","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2688","67.502968","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2760","68.559492","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2762","68.559617","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2864","70.255896","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2865","70.256077","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"2873","70.520657","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2886","70.786567","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2920","71.421318","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2974","72.480814","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2998","73.009066","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"2999","73.009346","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
"3008","73.275154","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"3052","74.442385","66:ec:0e:84:4f:6e","Broadcast","ADV_IND","LE LL","44"
"3054","74.442503","66:ec:0e:84:4f:6e","Broadcast","SCAN_RSP","LE LL","46"
